Hora,Temperatura (°C)
16:04:17,27.5
16:04:18,27.5
16:04:19,27.5
16:04:20,27.5
16:04:21,27.5
16:04:22,27.5
16:04:23,27.5
16:04:24,27.5
16:04:25,27.5
16:04:27,27.5
16:04:28,27.5
16:04:29,27.5
16:04:30,27.5
16:04:31,27.5
16:04:32,27.5
16:04:33,27.5
16:04:34,27.5
16:04:35,27.25
16:04:36,27.5
16:04:37,27.5
16:04:38,27.75
16:04:39,28.0
16:04:40,27.75
16:04:41,28.25
16:04:42,28.25
16:04:43,28.25
16:04:44,28.25
16:04:45,28.25
16:04:46,28.0
16:04:47,28.0
16:04:48,28.0
16:04:49,27.75
16:04:50,27.5
16:04:51,27.5
16:04:52,27.5
16:04:53,27.5
16:04:54,27.5
16:04:55,27.5
16:04:56,27.5
16:04:57,27.5
16:04:58,27.25
16:04:59,27.25
16:05:00,27.25
16:05:01,27.0
16:05:02,27.0
16:05:03,26.75
16:05:04,26.5
16:05:05,26.25
16:05:06,26.25
16:05:07,26.0
16:05:08,25.75
16:05:09,25.75
16:05:10,25.5
16:05:11,25.5
16:05:12,25.25
16:05:13,25.0
16:05:14,24.75
16:05:15,24.75
16:05:16,24.5
16:05:17,24.25
16:05:18,24.0
16:05:19,23.75
16:05:20,23.5
16:05:21,23.25
16:05:22,23.0
16:05:23,23.0
16:05:24,22.75
16:05:25,22.5
16:05:26,22.25
16:05:27,22.0
16:05:28,21.75
16:05:29,21.5
16:05:30,21.25
16:05:31,21.0
16:05:32,20.75
16:05:33,20.5
16:05:34,20.5
16:05:35,20.25
16:05:36,20.0
16:05:37,19.75
16:05:38,19.75
16:05:40,19.5
16:05:41,19.25
16:05:42,19.0
16:05:43,18.75
16:05:44,18.5
16:05:45,18.25
16:05:46,18.25
16:05:47,18.0
16:05:48,18.0
16:05:49,18.25
16:05:50,18.25
16:05:51,18.25
16:05:52,18.25
16:05:53,18.25
16:05:54,18.0
16:05:55,18.0
16:05:56,18.0
16:05:57,18.25
16:05:58,18.25
16:05:59,18.0
16:06:00,18.0
16:06:01,18.0
16:06:02,18.0
16:06:03,18.0
16:06:04,18.0
16:06:05,18.0
16:06:06,18.25
16:06:07,18.0
16:06:08,18.0
16:06:09,18.0
16:06:10,18.0
16:06:11,18.0
16:06:12,18.0
16:06:13,18.0
16:06:14,18.0
16:06:15,18.0
16:06:16,18.0
16:06:17,18.0
16:06:18,18.0
16:06:19,18.0
16:06:20,18.0
16:06:21,18.0
16:06:22,18.0
16:06:23,18.0
16:06:24,18.0
16:06:25,18.0
16:06:26,18.25
16:06:27,18.25
16:06:28,18.25
16:06:29,18.25
16:06:30,18.0
16:06:31,18.0
16:06:32,18.0
16:06:33,18.0
16:06:34,18.0
16:06:35,18.0
16:06:36,18.0
16:06:37,18.0
16:06:38,18.25
16:06:39,18.25
16:06:40,18.25
16:06:41,18.25
16:06:42,18.25
16:06:43,18.0
16:06:44,18.25
16:06:45,18.0
16:06:46,18.0
16:06:47,18.0
16:06:48,18.0
16:06:49,18.0
16:06:51,18.0
16:06:52,18.0
16:06:53,18.0
16:06:54,18.0
16:06:55,18.0
16:06:56,18.0
16:06:57,18.0
16:06:58,17.75
16:06:59,18.0
16:07:00,18.0
16:07:01,18.0
16:07:02,18.0
16:07:03,18.0
16:07:04,17.75
16:07:05,17.75
16:07:06,17.75
16:07:07,18.0
16:07:08,17.75
16:07:09,18.0
16:07:10,17.75
16:07:11,18.0
16:07:12,18.0
16:07:13,18.0
16:07:14,18.0
16:07:15,18.0
16:07:16,18.0
16:07:17,18.25
16:07:18,18.25
16:07:19,18.0
16:07:20,18.0
16:07:21,18.0
16:07:22,18.0
16:07:23,18.0
16:07:24,18.0
16:07:25,18.0
16:07:26,18.0
16:07:27,18.0
16:07:28,18.0
16:07:29,18.0
16:07:30,18.0
16:07:31,18.0
16:07:32,18.0
16:07:33,18.0
16:07:34,18.0
16:07:35,18.0
16:07:36,18.0
16:07:37,18.0
16:07:38,18.0
16:07:39,18.25
16:07:40,18.0
16:07:41,18.0
16:07:42,18.0
16:07:43,18.0
16:07:44,18.25
16:07:45,18.0
16:07:46,18.25
16:07:47,18.0
16:07:48,18.0
16:07:49,18.0
16:07:50,18.0
16:07:51,18.0
16:07:52,18.25
16:07:53,18.25
16:07:54,18.25
16:07:55,18.0
16:07:56,18.25
16:07:57,18.25
16:07:58,18.25
16:07:59,18.25
16:08:00,18.25
16:08:01,18.25
16:08:02,18.25
16:08:03,18.25
16:08:04,18.25
16:08:06,18.25
16:08:07,18.25
16:08:08,18.25
16:08:09,18.25
16:08:10,18.25
16:08:11,18.25
16:08:12,18.25
16:08:13,18.25
16:08:14,18.25
16:08:15,18.25
16:08:16,18.25
16:08:17,18.25
16:08:18,18.25
16:08:19,18.25
16:08:20,18.25
16:08:21,18.25
16:08:22,18.25
16:08:23,18.25
16:08:24,18.25
16:08:25,18.25
16:08:26,18.5
16:08:27,18.5
16:08:28,18.75
16:08:29,18.75
16:08:30,18.75
16:08:31,18.75
16:08:32,18.75
16:08:33,18.75
16:08:34,18.75
16:08:35,18.75
16:08:36,18.75
16:08:37,18.75
16:08:38,18.75
16:08:39,18.75
16:08:40,18.5
16:08:41,18.75
16:08:42,18.5
16:08:43,18.75
16:08:44,18.75
16:08:45,18.5
16:08:46,18.5
16:08:47,18.75
16:08:48,18.75
16:08:49,18.75
16:08:50,18.5
16:08:51,18.5
16:08:52,18.75
16:08:53,18.75
16:08:54,18.5
16:08:55,18.5
16:08:56,18.5
16:08:57,18.75
16:08:58,18.75
16:08:59,18.75
16:09:00,18.75
16:09:01,19.0
16:09:02,18.75
16:09:03,18.75
16:09:04,18.75
16:09:05,18.75
16:09:06,18.75
16:09:07,18.75
16:09:08,18.75
16:09:09,18.75
16:09:10,18.75
16:09:11,18.75
16:09:12,18.75
16:09:13,18.75
16:09:15,18.75
16:09:16,18.75
16:09:17,18.75
16:09:18,18.5
16:09:19,18.75
16:09:20,18.75
16:09:21,18.75
16:09:22,18.75
16:09:23,19.0
16:09:24,19.0
16:09:25,19.0
16:09:26,19.0
