Hora,Temperatura (°C)
16:38:06,23.25
16:38:08,23.25
16:38:09,23.25
16:38:10,23.0
16:38:11,23.25
16:38:12,23.25
16:38:13,23.0
16:38:14,22.75
16:38:15,22.25
16:38:16,22.0
16:38:17,21.5
16:38:18,21.0
16:38:19,20.5
16:38:20,20.0
16:38:21,19.5
16:38:22,18.75
16:38:23,18.5
16:38:24,18.0
16:38:25,17.75
16:38:26,17.25
16:38:27,16.75
16:38:28,16.5
16:38:29,16.0
16:38:30,15.5
16:38:31,15.25
16:38:32,14.75
16:38:33,14.5
16:38:34,14.0
16:38:35,13.5
16:38:36,13.0
16:38:37,12.75
16:38:38,12.25
16:38:39,12.0
16:38:40,11.5
16:38:41,11.25
16:38:42,10.75
16:38:43,10.5
16:38:44,10.0
16:38:45,9.5
16:38:46,9.25
16:38:47,9.0
16:38:48,8.5
16:38:49,8.25
16:38:50,8.0
16:38:51,7.75
16:38:52,7.0
16:38:53,6.5
16:38:54,5.75
16:38:55,5.0
16:38:56,4.5
16:38:57,4.0
16:38:58,3.25
16:38:59,2.75
16:39:00,2.25
16:39:01,1.75
16:39:02,1.25
16:39:03,0.75
16:39:04,0.25
16:39:05,-0.25
16:39:06,-0.75
16:39:07,-1.25
16:39:08,-1.25
16:39:09,-1.5
16:39:10,-1.5
16:39:11,-1.75
16:39:12,-1.5
16:39:13,-1.75
16:39:14,-1.75
16:39:15,-1.5
16:39:16,-1.5
16:39:17,-1.5
16:39:18,-1.75
16:39:20,-2.0
16:39:21,-1.75
16:39:22,-1.75
16:39:23,-1.5
16:39:24,-1.25
16:39:25,-1.5
16:39:26,-1.5
16:39:27,-1.5
16:39:28,-1.5
16:39:29,-1.5
16:39:30,-1.5
16:39:31,-1.5
16:39:32,-1.5
16:39:33,-1.5
16:39:34,-1.5
16:39:35,-1.5
16:39:36,-1.5
16:39:37,-1.5
16:39:38,-1.5
16:39:39,-1.25
16:39:40,-1.0
16:39:41,-1.0
16:39:42,-1.0
16:39:43,-1.0
16:39:44,-1.25
16:39:45,-1.25
16:39:46,-1.25
16:39:47,-1.0
16:39:48,-1.0
16:39:49,-1.0
16:39:50,-0.75
