Hora,Temperatura (°C)
16:00:00,22.77
16:00:01,22.97
16:00:02,22.9
16:00:03,23.04
16:00:04,22.99
16:00:05,23.18
16:00:06,22.93
16:00:07,23.14
16:00:08,22.93
16:00:09,23.24
16:00:10,22.91
16:00:11,22.09
16:00:12,21.19
16:00:13,20.34
16:00:14,19.97
16:00:15,19.33
16:00:16,18.79
16:00:17,17.75
16:00:18,17.62
16:00:19,16.82
16:00:20,16.57
16:00:21,15.77
16:00:22,15.5
16:00:23,15.3
16:00:24,14.41
16:00:25,13.86
16:00:26,13.75
16:00:27,13.09
16:00:28,12.92
16:00:29,12.55
16:00:30,12.5
16:00:31,11.97
16:00:32,11.74
16:00:33,11.54
16:00:34,10.89
16:00:35,10.89
16:00:36,10.55
16:00:37,10.45
16:00:38,10.14
16:00:39,10.1
16:00:40,9.75
16:00:41,9.64
16:00:42,9.26
16:00:43,9.45
16:00:44,9.01
16:00:45,8.95
16:00:46,8.63
16:00:47,9.03
16:00:48,8.36
16:00:49,8.48
16:00:50,8.17
16:00:51,8.08
16:00:52,7.87
16:00:53,8.07
16:00:54,7.94
16:00:55,7.88
16:00:56,7.85
16:00:57,7.6
16:00:58,7.45
16:00:59,7.52
16:01:00,7.47
16:01:01,7.55
16:01:02,7.31
16:01:03,7.3
16:01:04,7.17
16:01:05,7.22
16:01:06,6.91
16:01:07,7.12
16:01:08,7.12
16:01:09,6.67
16:01:10,6.89
16:01:11,6.82
16:01:12,6.63
16:01:13,6.63
16:01:14,6.72
16:01:15,7.03
16:01:16,6.44
16:01:17,6.3
16:01:18,6.65
16:01:19,6.55
16:01:20,6.62
16:01:21,6.43
16:01:22,6.4
16:01:23,6.44
16:01:24,6.69
16:01:25,6.42
16:01:26,6.52
16:01:27,6.16
16:01:28,6.64
16:01:29,6.21
16:01:30,6.26
16:01:31,5.96
16:01:32,6.48
16:01:33,6.46
16:01:34,6.28
16:01:35,6.32
16:01:36,5.94
16:01:37,6.16
16:01:38,6.12
16:01:39,6.09
16:01:40,6.05
16:01:41,6.13
16:01:42,6.09
16:01:43,6.42
16:01:44,5.98
16:01:45,5.84
16:01:46,6.11
16:01:47,6.09
16:01:48,6.35
16:01:49,6.24
16:01:50,6.11
16:01:51,6.29
16:01:52,6.27
16:01:53,6.19
16:01:54,6.29
16:01:55,6.29
16:01:56,6.24
16:01:57,5.96
16:01:58,6.17
16:01:59,6.06
16:02:00,5.81
16:02:01,5.9
16:02:02,6.09
16:02:03,6.37
16:02:04,6.13
16:02:05,6.28
16:02:06,6.32
16:02:07,6.06
16:02:08,6.12
16:02:09,6.19
16:02:10,5.9
16:02:11,5.92
16:02:12,6.22
16:02:13,5.76
16:02:14,6.09
16:02:15,6.05
16:02:16,5.93
16:02:17,6.13
16:02:18,6.26
16:02:19,6.08
16:02:20,6.0
16:02:21,6.0
16:02:22,6.04
16:02:23,6.2
16:02:24,6.0
16:02:25,6.21
16:02:26,6.17
16:02:27,6.28
16:02:28,6.0
16:02:29,6.26
16:02:30,5.87
16:02:31,5.77
16:02:32,6.18
16:02:33,5.97
16:02:34,6.01
16:02:35,6.03
16:02:36,5.71
16:02:37,6.07
16:02:38,5.9
16:02:39,5.85
16:02:40,6.11
16:02:41,6.02
16:02:42,6.17
16:02:43,5.78
16:02:44,5.98
16:02:45,6.25
16:02:46,6.22
16:02:47,6.07
16:02:48,6.11
16:02:49,6.04
16:02:50,6.06
16:02:51,6.04
16:02:52,5.9
16:02:53,5.98
16:02:54,6.02
16:02:55,6.12
16:02:56,6.13
16:02:57,5.84
16:02:58,6.17
16:02:59,6.32
16:03:00,6.04
