Hora,Temperatura (°C)
16:00:00,22.7663
16:00:01,22.6872
16:00:02,22.5615
16:00:03,22.4174
16:00:04,22.1629
16:00:05,21.925
16:00:06,21.7198
16:00:07,21.528
16:00:08,21.2903
16:00:09,21.1579
16:00:10,20.9107
16:00:11,20.7089
16:00:12,20.5108
16:00:13,20.2615
16:00:14,20.0701
16:00:15,19.9088
16:00:16,19.6996
16:00:17,19.4604
16:00:18,19.3205
16:00:19,19.0196
16:00:20,18.841
16:00:21,18.637
16:00:22,18.3527
16:00:23,18.2872
16:00:24,18.0326
16:00:25,17.7829
16:00:26,17.6683
16:00:27,17.4169
16:00:28,17.2048
16:00:29,16.9662
16:00:30,16.7802
16:00:31,16.5238
16:00:32,16.386
16:00:33,16.1435
16:00:34,15.9513
16:00:35,15.7759
16:00:36,15.541
16:00:37,15.3329
16:00:38,15.1259
16:00:39,14.8881
16:00:40,14.7278
16:00:41,14.5416
16:00:42,14.3106
16:00:43,14.107
16:00:44,13.8467
16:00:45,13.6395
16:00:46,13.4149
16:00:47,13.2876
16:00:48,13.0356
16:00:49,12.8778
16:00:50,12.6049
16:00:51,12.4078
16:00:52,12.2164
16:00:53,12.0337
16:00:54,11.8005
16:00:55,11.5975
16:00:56,11.3843
16:00:57,11.1817
16:00:58,10.9354
16:00:59,10.7639
16:01:00,10.5485
16:01:01,10.3449
16:01:02,10.154
16:01:03,9.9113
16:01:04,9.7218
16:01:05,9.508
16:01:06,9.322
16:01:07,9.1256
16:01:08,8.8661
16:01:09,8.7055
16:01:10,8.5454
16:01:11,8.2423
16:01:12,8.0835
16:01:13,7.9425
16:01:14,7.8826
16:01:15,7.9397
16:01:16,7.9693
16:01:17,8.0875
16:01:18,8.3051
16:01:19,8.4655
16:01:20,8.7217
16:01:21,8.9039
16:01:22,9.1437
16:01:23,9.2896
16:01:24,9.6078
16:01:25,9.7491
16:01:26,9.9514
16:01:27,10.1377
16:01:28,10.3249
16:01:29,10.528
16:01:30,10.7574
16:01:31,10.945
16:01:32,11.1848
16:01:33,11.359
16:01:34,11.6098
16:01:35,11.8273
16:01:36,11.9849
16:01:37,12.2493
16:01:38,12.4138
16:01:39,12.663
16:01:40,12.849
16:01:41,13.0769
16:01:42,13.2208
16:01:43,13.4549
16:01:44,13.7091
16:01:45,13.8544
16:01:46,14.0193
16:01:47,14.2296
16:01:48,14.4201
16:01:49,14.6393
16:01:50,14.8978
16:01:51,15.1559
16:01:52,15.3117
16:01:53,15.5421
16:01:54,15.7366
16:01:55,15.9476
16:01:56,16.1497
16:01:57,16.3569
16:01:58,16.5834
16:01:59,16.7417
16:02:00,17.0148
16:02:01,17.2195
16:02:02,17.3935
16:02:03,17.6309
16:02:04,17.7931
16:02:05,18.0055
16:02:06,18.2337
16:02:07,18.4308
16:02:08,18.6305
16:02:09,18.8312
16:02:10,19.0421
16:02:11,19.2944
16:02:12,19.4153
16:02:13,19.6917
16:02:14,19.8814
16:02:15,20.1178
16:02:16,20.3188
16:02:17,20.4273
16:02:18,20.7358
16:02:19,20.9354
16:02:20,21.1338
16:02:21,21.3265
16:02:22,21.5736
16:02:23,21.7429
16:02:24,22.0171
16:02:25,22.1835
16:02:26,22.4277
16:02:27,22.5181
16:02:28,22.6285
16:02:29,22.7805
